fare_amount,passenger_count_2.0,passenger_count_3.0,passenger_count_4.0,passenger_count_5.0,passenger_count_6.0,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,session_evening,session_morning,session_night_AM,session_night_PM,season_summer,season_winter,week_weekend,distance_km
10.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.152659611
16.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.686579987
15.07,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.434293496
7.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.189833692
20.38811221,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.808284709
7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.298284144
8.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.245576472
5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.200313675
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.105862213
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.749667489
8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.321750791
12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.210629038
12.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.652589718
7.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.320006505
6.9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.223019647
5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.075162477
10.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.507715077
7.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.281845153
11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.25289889
5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.164864324
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.283967213
13.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.408691975
7.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.180743668
14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.445924652
5.7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.166178962
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.31008944
5.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.150234185
9.7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.535417655
14.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.780575709
7.7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.096046378
8.333697059,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.51783541
8.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0.420010982
12.9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.372098855
9.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.071856406
9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.259416537
10,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.255008184
9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.18998768
17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.375801984
6.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.140645141
14.5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0.586225931
3.7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.061092911
6.53488977,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.245102858
5.3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.193378738
11.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.41443583
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.119422021
10.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.33766423
17.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.829752483
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.213460827
8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.295754875
7.3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.238542233
6.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.228629004
8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.176040641
16.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.694336814
18.8016287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.837758728
19.38751008,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.878281365
11.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.399843968
12.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.160755447
5.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.090903191
6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.227006198
16.5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.809171681
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0.368635243
8.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.26473739
10.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.478348678
8.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.349462428
8.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.227445689
17,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.266917358
12.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.781354759
16.16576964,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.68677125
16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.828541445
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.255289233
5.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.29009822
5.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.141755525
16.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.845708931
12.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.65865495
10.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.404413028
9.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.195051528
4.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.124759143
6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.122872239
21.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.842173837
8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.13306242
4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.155299774
5.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.116825566
15.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.758627471
14.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.51046912
7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0.144969076
10.85788612,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.388567412
8.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.290311352
4.1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.086200432
11.7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.615301858
20.37346202,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.432937246
5.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.140822307
5.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.182535204
4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19860135
6.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.181848046
11.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.392036485
11.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.583166027
5.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.107709673
5.7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.17777937
8.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.35805587
6.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.284509349
9.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.314260885
4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.000505536
5.7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.17660331
16.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.678959851
17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.653058419
11.95784598,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.760451862
6.1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.213585782
6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.210342179
6.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
4.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.123232408
16.81705977,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.896731015
16.1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.655631035
15.7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.458838464
14.30404629,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0.747542522
5.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.09910052
6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.149144551
7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.203383487
12.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.445537658
10.60091052,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.197336045
5.7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.12255295
5.3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.113359908
10.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.461718103
7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.494818601
4.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.09451591
12.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.342606289
16.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.842188677
4.9,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.117134987
4.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.120057304
15.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.574051575
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.418315675
4.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.141989822
11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.73066157
14.9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.298634518
14.20173854,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.508272388
6.1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.231179974
3.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.01956146
4.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.087874839
12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.295821247
9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.150441666
2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.008784732
8.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.300505931
10.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.239812395
5.7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.127565357
7,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0.193129958
12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.626239758
10.76446361,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.559035722
4.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.188712269
7.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.229757458
5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.256323923
6.9,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.338027713
9.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.32555955
6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.216197704
9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.311238214
13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.419282951
19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.80604864
5.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.13003108
8.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.444782015
9.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.388726704
18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.614061944
12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.267490254
7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.292523835
4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.156462812
16.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.547736631
12.9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.757493581
4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0.081688059
15.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.587988327
11.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.464479957
21.15372734,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.846270828
8.9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.390879527
6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.096112513
6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.157183092
6.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.190095236
7.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.261445853
16.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.252440715
9.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0.567237212
7.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.371101861
19,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.7980174
16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438763795
10.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.315835449
8.9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.269469397
7.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
5.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.114954808
10.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.51289895
5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.229635144
18.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.748929104
10.9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.618184594
8.9,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.501544051
13.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.715568225
5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.179635938
5.3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.143873044
7.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0.210583945
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.329626049
16.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.365356375
4.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.133927581
5.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.159472411
10.17112465,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.343214866
8.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.234271138
9.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.509233391
7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.246016286
6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.225345882
8.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.254663802
5.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.112110007
14.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.530435792
5.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.212649159
7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.178748589
12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0.449659403
11.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.426401162
12.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.544178816
18.72447497,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.442644638
4.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.156889981
10.1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.399846308
7.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0.35692996
19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.624716206
14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.42556869
5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.151946605
20.44098552,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.797135314
8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.226004682
8.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.402216829
3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.078729437
20.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.892542587
10.37667199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.251715655
6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233134853
8.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.206875929
20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.032719878
10.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.567523473
19.31314607,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0.984223718
8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.260222717
10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.357117472
4.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.140821622
9.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.415644903
20.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.972502356
9.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.400577153
